Date,Close,Upper_Band,Lower_Band
2020-12-17,74064,77174.89819925406,72629.20180074594
2020-12-18,73663,77150.657266597,72683.54273340301
2020-12-21,76172,77261.31916804408,72823.78083195593
2020-12-22,75469,77297.71631716896,72847.58368283103
2020-12-23,75770,77320.01489011728,73035.98510988272
2020-12-24,75068,77320.01489011728,73035.98510988272
2020-12-28,74867,77320.01489011728,73035.98510988272
2020-12-29,77175,77568.07622693996,73119.12377306006
2020-12-30,78179,78051.27628797291,72937.02371202708
2021-01-04,79483,78820.34505003806,72629.55494996194
2021-01-05,78881,79297.1009062483,72534.0990937517
2021-01-06,79383,79563.542500883,72388.057499117
2021-01-07,80788,80306.18849832748,71996.71150167251
2021-01-08,87111,83139.49149205093,70357.70850794908
2021-01-11,90924,86481.5645830213,68581.23541697868
2021-01-12,91827,89258.48677178651,67550.51322821349
2021-01-13,91225,91352.02015478117,67062.67984521884
2021-01-14,90623,92973.31961178713,67006.98038821286
2021-01-15,87813,93815.96965355107,67499.13034644893
2021-01-18,85806,94247.60048066611,68181.4995193339
2021-01-19,88315,94872.07177570104,68982.12822429897
2021-01-20,89118,95410.71762991716,69988.98237008286
2021-01-21,91125,96299.94156202531,70595.05843797469
2021-01-22,92931,97263.09788629903,71378.10211370098
2021-01-25,95039,98413.93407332526,72154.16592667474
2021-01-26,92530,98737.50943382474,73576.79056617524
2021-01-27,93333,98856.75569316882,75304.14430683118
2021-01-28,91928,98803.59077360021,76832.6092263998
2021-01-29,88516,98339.86377116435,78330.03622883564
2021-02-01,88616,97887.7913232675,79695.4086767325
2021-02-02,89419,97127.25992581155,81509.74007418845
2021-02-03,92731,96371.11344159691,83600.68655840307
2021-02-04,91225,95212.71874535314,85802.78125464686
2021-02-05,91326,95152.64462172004,86284.35537827996
2021-02-08,91727,95215.11507423852,86302.18492576147
2021-02-09,92530,95296.59406123662,86291.00593876338
2021-02-10,98250,96750.46912513542,85539.63087486458
2021-02-15,100759,98704.53908103124,84599.16091896877
2021-02-16,103168,100909.38520340844,83929.81479659157
2021-02-17,102164,102184.09675372131,84290.90324627869
2021-02-18,100559,103050.1021445296,84649.29785547039
2021-02-19,101161,103920.7973493771,84982.90265062291
2021-02-22,98451,104311.98550188512,85324.31449811487
2021-02-23,97749,104595.67441604176,85522.42558395825
2021-02-24,95039,104595.67441604176,85522.42558395825
2021-02-25,97247,104801.43793643375,85788.36206356624
2021-02-26,97949,105055.7916679753,85995.6083320247
2021-03-02,98652,105331.82215607485,86391.97784392514
2021-03-03,99053,105293.47051927111,87484.02948072889
2021-03-04,96745,104913.45707506569,88676.94292493431
2021-03-05,94537,104484.10477316589,89618.09522683412
2021-03-08,91125,104631.52478637914,89310.07521362086
2021-03-09,88516,105002.86378198773,88667.83621801228
2021-03-10,92329,104921.84230755651,88849.15769244349
2021-03-11,96143,104780.37694020738,89432.22305979262
2021-03-12,96544,104681.24351160397,89932.75648839603
2021-03-15,96143,104579.37100812279,89823.9289918772
2021-03-16,96143,104166.56177197053,89775.13822802948
2021-03-17,97347,103265.10087551546,90094.49912448454
2021-03-18,99956,102833.79672065045,90305.00327934953
2021-03-19,98853,102563.4881929033,90404.71180709671
2021-03-22,99154,102198.58825633873,90568.91174366127
2021-03-23,98451,102198.58825633873,90568.91174366127
2021-03-24,98752,102315.23593488413,90552.56406511586
2021-03-25,97347,102405.91472542947,90692.68527457054
2021-03-26,99354,102638.52799886288,90670.77200113711
2021-03-29,97849,102629.13969042565,90670.16030957433
2021-03-30,99053,102680.06921889,90659.33078111
2021-03-31,99956,102813.51999392072,90616.18000607929
2021-04-01,100157,103175.55643287172,90595.34356712828
2021-04-02,100559,103579.0186434825,90794.0813565175
2021-04-05,100759,103570.64337271992,91765.85662728008
2021-04-06,109189,105077.46238675308,92326.33761324691
2021-04-07,108788,106642.62100754175,92407.07899245826
2021-04-08,109992,108542.05362935661,91892.5463706434
2021-04-09,112000,110642.77046551378,91337.42953448623
2021-04-12,112000,112323.37864353656,91242.52135646343
2021-04-13,112000,113699.36316635106,91452.23683364895
2021-04-14,112000,114902.22826749338,91714.67173250661
2021-04-15,120500,118113.45230393542,90557.84769606456
2021-04-16,119000,120326.29492257476,90359.70507742524
2021-04-19,119000,122195.7944118866,90474.8055881134
2021-04-20,119500,123828.27575513556,90947.22424486444
2021-04-21,118000,124915.18044971582,91785.11955028417
2021-04-22,117500,125552.30449478439,93163.29550521562
2021-04-23,117500,126129.65782255767,94400.54217744234
2021-04-26,118000,126357.43441867523,96187.86558132476
2021-04-27,121500,126983.75829642781,97806.24170357219
2021-04-28,119500,127042.03065540246,99702.36934459754
2021-04-29,117000,126456.9879385633,101971.71206143672
2021-04-30,113500,125300.28087165687,104422.51912834312
2021-05-03,114500,123619.4609058356,107477.4390941644
2021-05-04,115500,123361.21475300285,108366.78524699715
2021-05-06,115000,122913.9012413057,109435.2987586943
2021-05-07,114500,122543.8887051333,110256.1112948667
2021-05-10,116000,122391.10024997625,110808.89975002375
2021-05-11,114500,122197.17843661162,111252.82156338838
2021-05-12,113000,122081.15332966422,111468.84667033578
2021-05-13,109500,122517.84278482138,110782.15721517862
2021-05-14,109000,122574.19023296153,109575.80976703847
2021-05-17,110500,122448.60666839838,108851.39333160162
2021-05-18,113000,122055.0648570207,108644.9351429793
2021-05-20,113500,121505.51579740444,108594.48420259556
2021-05-21,117000,121374.29046619154,108625.70953380846
2021-05-24,116500,121257.05536430694,108642.94463569306
2021-05-25,118000,121328.40770560934,108621.59229439066
2021-05-26,119500,121586.53698754054,108513.46301245946
2021-05-27,125000,122619.69938181265,107830.30061818735
2021-05-28,122000,123123.77507697389,107576.22492302611
2021-05-31,123000,124123.48806572665,107176.51193427335
2021-06-01,127000,126124.43607400105,106525.56392599895
2021-06-02,127000,127797.75019119348,106102.24980880652
2021-06-03,126500,129125.74276065207,105874.25723934793
2021-06-04,124000,129861.51587860788,106038.48412139212
2021-06-07,126000,130838.77063975259,106211.22936024741
2021-06-08,128500,132172.652329085,106127.34767091501
2021-06-09,129000,133411.98637068132,106338.01362931868
2021-06-10,133500,135320.74529061705,106479.25470938295
2021-06-11,135500,136976.93793506807,107423.06206493192
2021-06-14,142500,139894.31400068814,107855.68599931184
2021-06-15,144500,142789.66632967707,108360.33367032294
2021-06-16,143000,144893.60352493875,109256.39647506126
2021-06-17,148000,147730.34322818407,109869.65677181593
2021-06-18,155000,152109.2945875583,109290.70541244168
2021-06-21,155000,155529.55022594077,109720.44977405923
2021-06-22,159000,159339.6454838118,110010.3545161882
2021-06-23,169500,165261.84839264795,109088.15160735205
2021-06-24,157000,167578.28014946272,109971.71985053728
2021-06-25,154500,168883.79040418402,111916.20959581598
2021-06-28,155000,169958.61603381555,114041.38396618445
2021-06-29,158000,171444.34955043974,115655.65044956027
2021-06-30,163000,173393.38743710145,117306.61256289853
2021-07-01,160000,174319.6399210736,119730.3600789264
2021-07-02,159500,174351.59898179228,123248.40101820773
2021-07-05,157000,173748.3805107603,126951.6194892397
2021-07-06,157500,172986.88770268837,130613.11229731163
2021-07-07,161000,172014.08634680542,134785.91365319458
2021-07-08,163000,171408.45889878782,138341.54110121218
2021-07-09,160500,170068.02315629052,142181.97684370948
2021-07-12,162000,169693.2312646208,144506.7687353792
2021-07-13,161000,169127.79570370534,146722.20429629466
2021-07-14,162000,167723.87741913964,150026.12258086036
2021-07-15,159500,166667.66837989367,152232.33162010633
2021-07-16,157000,166560.51841314638,152539.48158685362
2021-07-19,154000,166659.8294598928,152340.1705401072
2021-07-20,152000,167058.02390646836,151241.97609353164
2021-07-21,145000,166632.37739234057,149217.62260765943
2021-07-22,147500,167327.67285612575,147572.32714387425
2021-07-23,149500,167629.71463504314,146770.28536495686
2021-07-26,147500,168093.37680366987,145556.62319633013
2021-07-27,148000,168242.5898305166,144407.4101694834
2021-07-28,148000,167611.23913984725,143538.76086015275
2021-07-29,148500,167243.15060930466,142756.84939069534
2021-07-30,147000,166923.3276302383,141826.6723697617
2021-08-02,146000,166844.31763108034,140805.68236891966
2021-08-03,144000,166753.79204099905,139546.20795900095
2021-08-04,149500,165747.03976531196,139402.96023468804
2021-08-05,149000,164173.37387624933,139576.62612375067
2021-08-06,145500,163031.9860077807,139218.0139922193
2021-08-09,148000,161235.6915889591,139614.3084110409
2021-08-10,146500,159413.79919170938,139986.20080829062
2021-08-11,144000,156920.1503745482,140679.8496254518
2021-08-12,147500,154577.59235217635,141822.40764782365
2021-08-13,146000,152560.78297969844,142739.21702030156
2021-08-17,142000,151614.16245847804,142485.83754152196
2021-08-18,145500,150691.63718108018,142758.36281891982
2021-08-19,146500,150685.1945694028,142914.8054305972
2021-08-20,144000,150688.6385044377,142561.3614955623
2021-08-23,148500,150512.3381336836,142637.6618663164
2021-08-24,149000,150716.55162333825,142583.44837666175
2021-08-25,151000,151276.84099149946,142323.15900850054
2021-08-26,149500,151484.77222864772,142265.22777135228
2021-08-27,150000,151717.21258068964,142182.78741931036
2021-08-30,151500,152358.7296063347,141991.2703936653
2021-08-31,155000,153839.37213663966,141410.62786336034
2021-09-01,154000,154709.47136510644,141540.52863489356
2021-09-02,155000,155651.86001548724,141148.13998451276
2021-09-03,156500,156882.66369099802,140667.33630900198
2021-09-06,155500,157757.02433633135,140792.97566366865
2021-09-07,154000,158288.41977701857,140861.58022298143
2021-09-08,138500,159128.97302323952,139221.02697676048
2021-09-09,128500,161850.10271923253,134949.89728076747
2021-09-10,130000,163297.97822560073,131752.02177439927
2021-09-13,124500,165292.5610059559,127607.4389940441
2021-09-14,124000,166847.14584287396,124252.85415712604
2021-09-15,122500,168061.2052013197,120738.79479868029
2021-09-16,121500,168893.88021299557,117406.11978700444
2021-09-17,119500,169746.3757274588,114103.62427254122
2021-09-23,115000,170345.46215138215,110154.53784861787
2021-09-24,119500,169937.51966030602,107612.48033969398
2021-09-27,120000,168906.76463719038,105543.23536280962
2021-09-28,117500,167922.75126602652,103327.2487339735
2021-09-29,116500,166581.75721513294,101318.24278486706
2021-09-30,118000,164550.90758640767,99999.09241359234
2021-10-01,116500,161491.61203277716,99208.38796722284
2021-10-05,111000,158389.5764514145,98010.4235485855
2021-10-06,113000,154211.8068471334,97988.19315286659
2021-10-07,119500,148549.66428184835,99950.33571815163
2021-10-08,117500,141824.9501722222,102875.04982777781
2021-10-12,113500,133271.34677184466,107378.65322815535
2021-10-13,117000,129023.75648302554,109476.24351697446
2021-10-14,121500,127735.33575450005,110064.66424549995
2021-10-15,122000,125812.57028756212,111187.42971243788
2021-10-18,121500,125256.13762113928,111443.86237886072
2021-10-19,127500,126171.6366875633,110878.3633124367
2021-10-20,128000,127386.40295988278,110213.59704011722
2021-10-21,128000,128588.92040719354,109661.07959280646
2021-10-22,127500,129704.83041943387,109345.16958056613
2021-10-25,126000,130412.84564750263,109737.15435249737
2021-10-26,127500,131325.5396421711,109624.46035782892
2021-10-27,128500,132322.9685514023,109477.03144859769
2021-10-28,125500,132781.79336808407,109818.20663191595
2021-10-29,125500,133144.82800498404,110355.17199501596
2021-11-01,125500,133493.81700090255,110756.18299909747
2021-11-02,128000,134034.15889666046,111365.84110333954
2021-11-03,124500,133295.07533927303,113454.92466072697
2021-11-04,130000,133277.33322641827,115172.66677358173
2021-11-05,128500,133632.6488926627,115717.3511073373
2021-11-08,125000,133346.47991303416,116753.52008696584
2021-11-09,125500,131916.87196379,119383.12803621
2021-11-10,124000,130855.8158293362,121144.1841706638
2021-11-11,125500,130581.78046004259,121818.21953995741
2021-11-12,127000,130368.91499484911,122531.08500515089
2021-11-15,129000,130138.05233726918,123511.94766273082
2021-11-16,127500,130138.05233726918,123511.94766273082
2021-11-17,125000,130035.37278633918,123314.62721366082
2021-11-18,124500,129933.58030111743,123066.41969888257
2021-11-19,127000,129885.12424530722,123064.87575469278
2021-11-22,128500,130118.37282965182,123081.62717034818
2021-11-23,124500,130061.38550464624,122838.61449535376
2021-11-24,124500,129826.23736407717,122673.76263592283
2021-11-25,128000,130015.05494464179,122734.94505535821
2021-11-26,125500,130015.05494464179,122734.94505535821
2021-11-29,123000,130176.96481160578,122323.03518839422
2021-11-30,122000,130216.1458015416,121683.8541984584
2021-12-01,122500,130346.78247545841,121353.21752454159
2021-12-02,122500,129760.53257760283,121189.46742239717
2021-12-03,123500,129347.78648744554,121102.21351255446
2021-12-06,121000,129561.11240926464,120488.88759073536
2021-12-07,120500,129732.45053323628,119817.54946676372
2021-12-08,121000,129855.22591843847,119394.77408156153
2021-12-09,122500,129771.22507074717,119178.77492925283
2021-12-10,122500,129476.45094434981,119023.54905565019
2021-12-13,120000,128851.31561810337,118748.68438189663
2021-12-14,118500,128612.57891552383,118087.42108447617
2021-12-15,118500,128648.96189251241,117401.03810748759
2021-12-16,119500,128564.96409406285,116985.03590593715
2021-12-17,117500,128188.43648267831,116411.56351732169
2021-12-20,113000,128025.80966617235,115024.19033382765
2021-12-21,114500,128077.24861489767,113972.75138510233
2021-12-22,114500,127948.11468178673,113101.88531821327
2021-12-23,113000,127047.69587313867,112502.30412686133
2021-12-24,114500,126336.70273489296,112113.29726510704
2021-12-27,113000,126119.69938181253,111330.30061818747
2021-12-28,113500,125876.97342715412,110723.02657284588
2021-12-29,114000,125413.497686438,110336.502313562
2021-12-30,112500,124948.32576599639,109801.67423400361
2022-01-03,114500,124020.40251445366,109829.59748554634
2022-01-04,111500,123667.66837989356,109232.33162010644
2022-01-05,105500,124156.70086225675,107243.29913774325
2022-01-06,100000,125273.21192384663,104026.78807615337
2022-01-07,100000,125345.92257509223,101704.07742490777
2022-01-10,96600,125497.30845666218,98962.69154333782
2022-01-11,95000,125786.48506567339,96173.51493432661
2022-01-12,97200,125488.29360425146,94341.70639574854
2022-01-13,96700,124911.46047228304,92738.53952771696
2022-01-14,93900,124121.51795065629,90968.48204934371
2022-01-17,92900,123423.48050713933,89206.51949286067
2022-01-18,92000,123203.52367333934,87326.47632666066
2022-01-19,90400,122613.75121668217,85506.24878331783
2022-01-20,92300,121530.18185849497,84369.81814150503
2022-01-21,91800,120474.98545090995,83305.01454909005
2022-01-24,90000,118978.09856215972,82351.90143784028
2022-01-25,87600,117629.08895448325,81160.91104551675
2022-01-26,86900,115841.89511697719,80288.10488302281
2022-01-27,82600,113888.46217162635,79101.53782837365
2022-01-28,85000,111504.79397747247,78735.20602252753
2022-02-03,85100,107842.58516564962,79457.41483435038
2022-02-04,87100,104139.66312608193,80720.33687391807
2022-02-07,88000,101657.52183211835,81452.47816788165
2022-02-08,86500,100393.5581920589,81366.4418079411
2022-02-09,86100,98889.8141550346,81480.1858449654
2022-02-10,87300,97963.30030994909,81476.69969005091
2022-02-11,91700,97479.23996023436,81630.76003976564
2022-02-14,88800,96196.61603690247,82073.38396309753
2022-02-15,88300,94816.00078071805,82613.99921928195
2022-02-16,91900,94416.370074116,82813.629925884
2022-02-17,90600,94028.49080005767,82971.50919994233
2022-02-18,91400,93924.53939393662,83015.46060606338
2022-02-21,93200,94406.15117306814,82813.84882693186
2022-02-22,91800,94318.10791070567,82851.89208929433
2022-02-23,92600,94462.76272935249,82787.23727064751
2022-02-24,90000,94462.76272935249,82787.23727064751
2022-02-25,94400,95320.52805375853,82609.47194624147
2022-02-28,94100,95995.87148098327,82654.12851901673
2022-03-02,95300,96347.29001096844,83572.70998903156
2022-03-03,96600,97134.22394779636,83945.77605220364
2022-03-04,94700,97338.7607046091,84701.2392953909
2022-03-07,91600,97290.60736577059,85199.39263422941
2022-03-08,92100,97307.42893121354,85592.57106878646
2022-03-10,100000,98653.60104302249,85596.39895697751
2022-03-11,101500,100035.53661554241,85754.46338445759
2022-03-14,103500,101786.55144042391,85623.44855957609
2022-03-15,103000,103287.19993883076,85252.80006116924
2022-03-16,104000,104648.20641995427,85411.79358004573
2022-03-17,106500,106293.01125785492,85586.98874214508
2022-03-18,108500,108348.40094404492,85191.59905595508
2022-03-21,105000,109242.51820719858,85737.48179280142
2022-03-22,106500,110286.76503936053,86203.23496063947
2022-03-23,106500,111244.10334248768,86575.89665751232
2022-03-24,105000,111713.37159458683,87426.62840541317
2022-03-25,105000,112098.93516827232,88281.06483172768
2022-03-28,105000,112006.38342482634,89873.61657517366
2022-03-29,105500,112290.41325602819,90699.58674397181
2022-03-30,106500,112540.1265295872,91689.8734704128
2022-03-31,106500,112756.32718915248,92593.67281084752
2022-04-01,106000,112905.17148253192,93384.82851746808
2022-04-04,105500,112639.68709965011,94730.31290034989
2022-04-05,107500,111539.92395963286,97420.07604036714
2022-04-06,105000,109110.16987685306,101139.83012314694
2022-04-07,99900,109132.40182696863,101107.59817303137
2022-04-08,98000,109832.13671418822,100057.86328581178
2022-04-11,95100,111090.58010424605,97959.41989575395
2022-04-12,94100,112121.36673379451,96038.63326620549
2022-04-13,95800,112523.68790243323,94816.31209756677
2022-04-14,96100,112510.94911967055,93789.05088032945
2022-04-15,95400,112109.56679922971,92880.43320077029
2022-04-18,94400,112149.8752673037,91780.1247326963
2022-04-19,95100,111785.17248223216,91004.82751776784
2022-04-20,95100,111286.5335496539,90363.4664503461
2022-04-21,93600,110997.23832404282,89512.76167595718
2022-04-22,92000,110705.58794080686,88504.41205919314
2022-04-25,89700,110471.24648250779,87208.75351749221
2022-04-26,90200,109873.28265826082,86276.71734173918
2022-04-27,88400,109023.86457081257,85316.13542918743
2022-04-28,89300,107804.0533824192,84815.9466175808
2022-04-29,89900,106380.07531734387,84629.92468265613
2022-05-02,87300,104983.55139083439,84206.44860916561
2022-05-03,88500,102413.2381354527,84876.7618645473
2022-05-04,89000,100027.28082817317,85662.71917182683
2022-05-06,84300,99407.81603803526,84722.18396196474
2022-05-09,84100,98974.18167506374,83765.81832493626
2022-05-10,83600,98932.10798231143,82657.89201768857
2022-05-11,85400,98681.28532581902,82038.71467418098
2022-05-12,80700,98563.72993818151,80646.27006181849
2022-05-13,81800,97948.15131597858,79831.84868402142
2022-05-16,82300,97205.19039873069,79264.80960126931
2022-05-17,83200,96420.25435217391,78929.74564782609
