Date,ma_005,ma_010,ma_020,ma_060,ma_120,ma_240
2022-03-30,105400.0,106000.0,102115.0,96501.66666666667,109409.16666666667,122794.16666666667
2022-03-31,105700.0,106000.0,102675.0,96376.66666666667,109371.66666666667,122771.25
2022-04-01,105900.0,105750.0,103145.0,96268.33333333333,109313.33333333333,122746.25
2022-04-04,106000.0,105800.0,103685.0,96118.33333333333,109196.66666666667,122719.16666666667
2022-04-05,106400.0,105900.0,104480.0,96051.66666666667,109113.33333333333,122700.41666666667
2022-04-06,106100.0,105750.0,105125.0,96043.33333333333,109042.5,122635.83333333333
2022-04-07,104780.0,105240.0,105120.0,96041.66666666667,108900.0,122556.25
2022-04-08,103180.0,104540.0,104945.0,96008.33333333333,108704.16666666667,122468.75
2022-04-11,101100.0,103550.0,104525.0,95983.33333333333,108480.0,122367.08333333333
2022-04-12,98420.0,102410.0,104080.0,95968.33333333333,108251.66666666667,122267.5
2022-04-13,96580.0,101340.0,103670.0,95945.0,107987.5,122177.08333333333
2022-04-14,95820.0,100300.0,103150.0,95935.0,107721.66666666667,122087.91666666667
2022-04-15,95300.0,99240.0,102495.0,95960.0,107450.0,121993.75
2022-04-18,95160.0,98130.0,101965.0,95985.0,107174.16666666667,121880.83333333333
2022-04-19,95360.0,96890.0,101395.0,96036.66666666667,106916.66666666667,121779.16666666667
2022-04-20,95220.0,95900.0,100825.0,96115.0,106646.66666666667,121687.91666666667
2022-04-21,94720.0,95270.0,100255.0,96136.66666666667,106355.83333333333,121605.0
2022-04-22,94040.0,94670.0,99605.0,96140.0,106076.66666666667,121511.25
2022-04-25,93100.0,94130.0,98840.0,96135.0,105778.33333333333,121403.75
2022-04-26,92120.0,93740.0,98075.0,96178.33333333333,105484.16666666667,121300.41666666667
2022-04-27,90780.0,93000.0,97170.0,96203.33333333333,105154.16666666667,121191.66666666667
2022-04-28,89920.0,92320.0,96310.0,96315.0,104860.83333333333,121080.41666666667
2022-04-29,89500.0,91770.0,95505.0,96396.66666666667,104526.66666666667,120977.91666666667
2022-05-02,89020.0,91060.0,94595.0,96433.33333333333,104183.33333333333,120870.83333333333
2022-05-03,88680.0,90400.0,93645.0,96456.66666666667,103879.16666666667,120783.33333333333
2022-05-04,88800.0,89790.0,92845.0,96473.33333333333,103575.0,120700.0
2022-05-06,87800.0,88860.0,92065.0,96436.66666666667,103244.16666666667,120590.83333333333
2022-05-09,86640.0,88070.0,91370.0,96403.33333333333,102899.16666666667,120470.41666666667
2022-05-10,85900.0,87460.0,90795.0,96341.66666666667,102537.5,120345.83333333333
2022-05-11,85280.0,86980.0,90360.0,96236.66666666667,102174.16666666667,120214.16666666667
2022-05-12,83620.0,86210.0,89605.0,96101.66666666667,101784.16666666667,120065.0
2022-05-13,83120.0,85460.0,88890.0,95993.33333333333,101424.16666666667,119914.16666666667
2022-05-16,82760.0,84700.0,88235.0,95833.33333333333,101072.5,119759.16666666667
2022-05-17,82680.0,84290.0,87675.0,95710.0,100707.5,119585.0
2022-05-18,82120.0,83700.0,87050.0,95563.33333333333,100325.0,119420.83333333333
2022-05-19,82060.0,82840.0,86315.0,95350.0,99957.5,119243.33333333333
2022-05-20,82300.0,82710.0,85785.0,95203.33333333333,99611.66666666667,119060.0
2022-05-23,82420.0,82590.0,85330.0,95041.66666666667,99235.83333333333,118876.25
2022-05-24,81900.0,82290.0,84875.0,94885.0,98861.66666666667,118685.0
2022-05-25,81740.0,81930.0,84455.0,94675.0,98518.33333333333,118509.16666666667
2022-05-26,81960.0,82010.0,84110.0,94465.0,98180.83333333333,118323.75
2022-05-27,81700.0,82000.0,83730.0,94238.33333333333,97840.83333333333,118128.75
2022-05-30,81900.0,82160.0,83430.0,94026.66666666667,97519.16666666667,117940.83333333333
2022-05-31,82780.0,82340.0,83315.0,93865.0,97198.33333333333,117738.75
2022-06-02,83160.0,82450.0,83075.0,93733.33333333333,96887.5,117522.91666666667
2022-06-03,84000.0,82980.0,82910.0,93626.66666666667,96597.5,117286.25
2022-06-07,84040.0,82870.0,82790.0,93325.0,96271.66666666667,117025.41666666667
2022-06-08,83560.0,82730.0,82660.0,92991.66666666667,95930.0,116769.16666666667
2022-06-09,82820.0,82800.0,82545.0,92621.66666666667,95586.66666666667,116491.25
2022-06-10,82100.0,82630.0,82280.0,92240.0,95254.16666666667,116179.16666666667
2022-06-13,80260.0,82130.0,82070.0,91781.66666666667,94904.16666666667,115852.08333333333
2022-06-14,79200.0,81620.0,81810.0,91283.33333333333,94555.0,115508.75
2022-06-15,77440.0,80500.0,81330.0,90686.66666666667,94165.0,115105.41666666667
2022-06-16,75640.0,79230.0,80785.0,90141.66666666667,93788.33333333333,114752.5
2022-06-17,74060.0,78080.0,80265.0,89570.0,93448.33333333333,114409.58333333333
2022-06-20,72680.0,76470.0,79725.0,88955.0,93074.16666666667,114053.75
2022-06-21,71460.0,75330.0,79100.0,88380.0,92707.5,113689.16666666667
2022-06-22,70620.0,74030.0,78380.0,87771.66666666667,92336.66666666667,113295.41666666667
2022-06-23,69580.0,72610.0,77705.0,87140.0,91941.66666666667,112908.33333333333
2022-06-24,69440.0,71750.0,77190.0,86573.33333333333,91595.83333333333,112541.66666666667
2022-06-27,69880.0,71280.0,76705.0,85995.0,91248.33333333333,112186.66666666667
2022-06-28,70100.0,70780.0,76200.0,85413.33333333333,90895.0,111828.75
2022-06-29,70560.0,70590.0,75545.0,84826.66666666667,90547.5,111452.91666666667
2022-06-30,71120.0,70350.0,74790.0,84233.33333333333,90175.83333333333,111065.0
2022-07-01,70280.0,69860.0,73970.0,83563.33333333333,89807.5,110676.66666666667
2022-07-04,69540.0,69710.0,73090.0,82948.33333333333,89495.83333333333,110285.41666666667
2022-07-05,69620.0,69860.0,72595.0,82483.33333333333,89262.5,109914.58333333333
2022-07-06,70160.0,70360.0,72195.0,82075.0,89041.66666666667,109545.83333333333
