Date,macd,signal,histogram
2020-07-29,2569.047415561472,3070.878550163652,-501.8311346021801
2020-07-30,2493.860390849288,2955.4749183007793,-461.61452745149154
2020-07-31,2590.7268485152526,2882.525304343674,-291.79845582842154
2020-08-03,2997.346131888684,2905.4894698526764,91.85666203600749
2020-08-04,3345.8216828862423,2993.5559124593897,352.26577042685267
2020-08-05,3588.6920241762127,3112.583134802754,476.1088893734586
2020-08-06,3633.975715794557,3216.8616510011148,417.11406479344214
2020-08-07,3451.9845828369,3263.8862373682723,188.09834546862749
2020-08-10,3318.082873735184,3274.7255646416547,43.35730909352924
2020-08-11,3119.281444966211,3243.6367407065663,-124.35529574035536
2020-08-12,2951.9893689225282,3185.3072663497587,-233.3178974272305
2020-08-13,2891.3817381883273,3126.5221607174726,-235.14042252914533
2020-08-14,2842.9355119642278,3069.804830966824,-226.86931900259606
2020-08-18,3020.751881595337,3059.994241092527,-39.24235949718968
2020-08-19,3101.630782228298,3068.3215493196813,33.30923290861665
2020-08-20,2937.560054436719,3042.169250343089,-104.60919590637013
2020-08-21,2863.60652064631,3006.4567044037335,-142.85018375742357
2020-08-24,2933.1345893786493,2991.7922813987166,-58.657692020067316
2020-08-25,2970.216300329863,2987.477085184946,-17.26078485508333
2020-08-26,3141.55705619957,3018.293079387871,123.2639768116992
2020-08-27,3536.1909013259865,3121.872643775494,414.3182575504925
2020-08-28,3724.9873224213225,3242.49557950466,482.4917429166626
2020-08-31,3854.4661443914956,3364.8896924820274,489.57645190946823
2020-09-01,3823.91574970269,3456.69490392616,367.22084577653004
2020-09-02,3924.5624119869317,3550.2684055383143,374.29400644861744
2020-09-03,3926.6239005345706,3625.539504537566,301.0843959970048
2020-09-04,3755.456988137026,3651.5230012574584,103.93398687956778
2020-09-07,3418.4520626046287,3604.9088135268926,-186.45675092226384
2020-09-08,3083.391769807393,3500.6054047829925,-417.2136349755997
2020-09-09,2689.6961926037766,3338.4235623471495,-648.727369743373
2020-09-10,2374.6048293518834,3145.6598157480967,-771.0549863962133
2020-09-11,1996.5747888627666,2915.842810371031,-919.2680215082646
2020-09-14,1589.5760415979457,2650.5894566164143,-1061.0134150184685
2020-09-15,1372.7243046628428,2395.0164262257,-1022.2921215628571
2020-09-16,1123.1256582930364,2140.638272639167,-1017.5126143461307
2020-09-17,818.6466543475399,1876.2399489808417,-1057.5932946333019
2020-09-18,602.8337976455368,1621.558718713781,-1018.7249210682442
2020-09-21,290.78858173776825,1355.4046913185784,-1064.6161095808102
2020-09-22,-141.1190783807251,1056.0999373787179,-1197.219015759443
2020-09-23,-277.7519280076958,789.3295643014352,-1067.0814923091311
2020-09-24,-597.8175289631909,511.90014564851,-1109.7176746117009
2020-09-25,-849.8254211196327,239.55503229488144,-1089.380453414514
2020-09-28,-757.3435654459754,40.17531274671006,-797.5188781926854
2020-09-29,-748.2897632464155,-117.51770245191506,-630.7720607945005
2020-10-05,-636.6232257596275,-221.33880711345756,-415.28441864616997
2020-10-06,-365.74348014166753,-250.21974171909955,-115.52373842256799
2020-10-07,-165.38193038238387,-233.25217945175643,67.87024906937256
2020-10-08,-30.530209854390705,-192.7077855322833,162.1775756778926
2020-10-12,-44.58620989820338,-163.08347040546732,118.49726050726395
2020-10-13,-47.1134326117608,-139.88946284672602,92.77603023496522
2020-10-14,-104.55654519233212,-132.82287931584725,28.266334123515122
2020-10-15,-252.4728693486977,-156.75287732241736,-95.71999202628035
2020-10-16,-437.5187316438678,-212.90604818670744,-224.61268345716036
2020-10-19,-649.5459031669452,-300.234019182755,-349.3118839841902
2020-10-20,-816.318805036397,-403.4509763534834,-412.86782868291357
2020-10-21,-921.6443685519334,-507.0896547931734,-414.55471375876004
2020-10-22,-1065.695515254396,-618.810826885418,-446.884688368978
2020-10-23,-1310.5595701893326,-757.160575546201,-553.3989946431316
2020-10-26,-1655.5492477572843,-936.8383099884177,-718.7109377688666
2020-10-27,-1834.9394595525955,-1116.4585399012533,-718.4809196513422
2020-10-28,-1754.4282071466296,-1244.0524733503285,-510.3757337963011
2020-10-29,-1727.4358788268873,-1340.7291544456402,-386.7067243812471
2020-10-30,-1894.7275204131001,-1451.5288276391323,-443.1986927739679
2020-11-02,-1932.1699459246447,-1547.6570512962348,-384.51289462840987
